UNITID,INSTNM,STABBR,LONGITUD,LATITUDE
490160,Sacramento Ultrasound Institute,CA,-121.383597,38.604405
490197,Regan Career Institute,CA,-118.030152,34.070176
490212,Baldy View Regional Occupational Program,CA,-117.636712,34.046457
490285,California Institute of Arts & Technology,CA,-117.134199,32.770776
490337,My Beauty & Barber College,CA,-121.431533,38.473648
490878,Platt College-Anaheim,CA,-117.878211,33.809417
491163,Advanced College-Stockton,CA,-121.29453,38.025552
491190,The Chicago School of Professional Psychology at San Diego,CA,-117.167054,32.718575
491464,ABC Adult School,CA,-118.070114,33.878179
491482,Blush School of Makeup,CA,-122.399413,37.794885
491491,Oikos University,CA,-122.199689,37.742256
491507,California Institute of Medical Science,CA,-119.694271,36.810031
491543,San Bernardino Beauty College,CA,-117.285521,34.110518
491659,ICOHS College,CA,-117.16145,32.723881
491756,Urban Barber College,CA,-122.03909,37.975087
491808,Meridian University,CA,-122.640029,38.230878
491853,Princess Institute of Beauty,CA,-119.431745,36.603678
491880,Independent Training & Apprenticeship Program,CA,-121.327728,38.572171
491899,Victory Career College,CA,-118.291723,33.854769
491950,Contra Costa Medical Career College,CA,-121.801607,37.976815
492209,Reiss-Davis Graduate Center,CA,-118.41001,34.030844
492306,Escondido Adult School,CA,-117.088454,33.131225
492315,Poway Adult School,CA,-117.035819,32.978817
492324,Vista Adult School,CA,-117.240253,33.187334
492449,Pima Medical Institute-San Marcos,CA,-117.160199,33.136906
492661,California College of Barbering and Cosmetology,CA,-121.293756,38.000656
492953,Salon Success Academy-West Covina,CA,-117.933801,34.070568
493080,Institute of Culinary Education,CA,-118.139351,34.144829
493318,Stanbridge University-Los Angeles,CA,-118.14879,34.080319
493479,Medical Career College of Northern California,CA,-121.293121,38.723329
493503,American Fitness and Nutrition Academy,CA,-118.131854,34.1397
493512,San Diego Global Knowledge University,CA,-117.154966,32.708222
493619,Young Americans College of the Performing Arts,CA,-117.542501,33.859246
493761,MIXED Institute of Cosmetology & Barber,CA,-121.43577,38.495699
494108,High Desert Medical College - Temecula,CA,-117.104588,33.482846
494126,Columbia College - Naval Base San Diego,CA,-117.115074,32.684371
494135,Columbia College - Imperial,CA,-115.503556,32.827911
494320,Southern California Health Institute (SOCHI) - North Hollywood,CA,-118.370066,34.173443
